Sample ID,O2 umol/kg,O2 flag,,Column C asssigns QC
10101,212.368,2,,2 for good
10102,212.346,6,,3 for questionable
10103,-999,9,,4 for bad
10104,221.898,2,,6 for duplicate
10105,237.83,2,,"5 for sampled, not analyzed"
10106,255.276,2,,9 for not sampled
10107,277.533,2,,
10108,-999,9,,
10109,-999,9,,
10110,313.468,2,,
10111,313.777,2,,
10112,314.398,2,,
10113,315.33,2,,
10114,-999,9,,
10115,-999,9,,
10116,-999,9,,
10117,-999,9,,
10118,-999,9,,
10119,-999,9,,
10120,-999,9,,
10121,-999,9,,
10122,-999,9,,
10123,-999,9,,
10124,-999,9,,
20101,177.972,2,,
20102,177.147,2,,
20103,176.767,6,,
20104,178.678,2,,
20105,182.203,3,,
20106,186.623,2,,
20107,193.23,2,,
20108,199.191,2,,
20109,218.796,2,,
20110,246.843,2,,
20111,274.02,2,,
20112,295.337,2,,
20113,311.92,2,,
20114,317.569,2,,
20115,318.373,2,,
20116,319.229,2,,
20117,318.93,2,,
20118,319.953,2,,
20119,319.859,2,,
30101,196.352,2,,
30102,196.416,2,,
30103,195.458,3,,
30104,189.07,6,,
30105,184.421,2,,
30106,180.514,2,,
30107,193.137,3,,
30108,176.354,2,,
30109,177.368,2,,
30110,177.458,2,,
30111,182.281,2,,
30112,198.089,2,,
30113,209.215,2,,
30114,231.908,2,,
30115,256.013,2,,
30116,284.268,2,,
30117,300.956,2,,
30118,314.095,6,,
30119,318.735,2,,
30120,318.648,2,,
30121,319.79,2,,
40101,210.466,2,,
40102,204.69,2,,
40103,201.234,2,,
40104,194.518,2,,
40105,189.24,6,,
40105,188.978,2,,
40106,187.257,2,,
40107,183.999,2,,
40108,180.02,2,,
40109,180.013,2,,
40110,178.559,3,,
40111,178.38,2,,
40112,177.338,3,,
40113,180.06,2,,
40114,188.58,2,,
40115,204.06,6,,
40116,219.67,2,,
40117,234.433,2,,
40118,260.116,2,,
40119,283.711,2,,
40120,304.468,2,,
40121,316.089,2,,
40122,318.623,2,,
40123,318.509,2,,
40124,318.398,2,,
50101,223.212,2,,
50102,212.071,2,,
50103,210.545,2,,
50104,207.018,2,,
50105,200.263,2,,
50106,196.251,6,,
50107,209.411,3,,
50108,188.387,2,,
50109,184.547,2,,
50110,179.958,2,,
50111,177.778,2,,
50112,176.413,2,,
50113,176.846,2,,
50114,179.328,2,,
50115,186.597,2,,
50116,196.497,6,,
50117,212.982,2,,
50118,239.983,2,,
50119,267.314,2,,
50120,288.389,2,,
50121,321.155,2,,
50122,322.09,2,,
50123,-999,5,,
50124,321.614,2,,
60101,225.796,2,,
60102,221.458,2,,
60103,216.961,2,,
60104,212.883,2,,
60105,208.31,2,,
60106,204.415,2,,
60107,200.989,6,,
60108,197.271,2,,
60109,195.525,2,,
60110,190.851,2,,
60111,188.48,3,,
60112,183.362,2,,
60113,186.634,2,,
60114,186.307,2,,
60115,191.118,2,,
60116,202.083,3,,
60117,227.841,6,,
60118,266.776,2,,
60119,284.092,2,,
60120,305.794,2,,
60121,-999,5,,
60122,321.073,2,,
60123,321.821,2,,
60124,321.26,2,,
70101,227.693,2,,
70102,218.516,2,,
70103,216.546,2,,
70104,210.046,2,,
70105,205.321,2,,
70106,202.735,3,,
70107,197.547,2,,
70108,209.766,3,,
70109,190.152,6,,
70110,185.53,2,,
70111,181.479,2,,
70112,180.184,2,,
70113,177.455,2,,
70114,178.436,2,,
70115,180.996,2,,
70116,200.01,2,,
70117,243.748,2,,
70118,265.144,2,,
70119,275.297,2,,
70120,288.344,2,,
70121,299.943,2,,
70122,314.024,2,,
70123,320.021,2,,
70124,321.741,2,,
80101,234.102,2,,
80102,230.36,2,,
80103,-999,5,,
80104,222.264,2,,
80105,219.12,2,,
80106,214.445,2,,
80107,210.037,2,,
80108,205.715,2,,
80109,199.943,2,,
80110,195.3,2,,
80111,191.04,6,,
80112,185.849,2,,
80113,181.95,2,,
80114,179.401,2,,
80115,176.176,2,,
80116,181.213,2,,
80117,193.267,2,,
80118,230.149,2,,
80119,280.798,2,,
80120,303.38,2,,
80121,312.262,6,,
80122,320.499,2,,
80123,328.033,2,,
80124,328.508,2,,
90101,238.98,2,,
90102,229.99,2,,
90103,224.074,2,,
90104,221.807,2,,
90105,218.193,2,,
90106,214.74,2,,
90107,210.412,6,,
90108,205.174,2,,
90109,200.474,2,,
90110,194.433,4,,
90111,185.55,2,,
90112,183.151,2,,
90113,179.526,2,,
90114,177.165,2,,
90115,171.383,2,,
90116,180.893,2,,
90117,182.069,6,,
90118,206.339,2,,
90119,259.317,2,,
90120,295.157,2,,
90121,309.538,2,,
90122,322.467,3,,
90123,323.026,3,,
90124,329.3,4,,
100101,-999,5,,
100102,226.753,2,,
100103,222.276,2,,
100104,217.512,2,,
100105,210.13,2,,
100106,204.019,2,,
100107,199.578,2,,
100108,200.776,2,,
100109,201.607,2,,
100110,177.04,2,,
100111,171.67,2,,
100112,172.421,3,,
100113,174.528,3,,
100114,183.797,6,,
100115,207.322,2,,
100116,240.138,2,,
100117,250.481,2,,
100118,264.686,2,,
100119,292.153,2,,
100120,293.742,2,,
100121,293.785,2,,
100122,294.241,2,,
100123,294.383,2,,
100124,293.54,2,,
110201,230.546,2,,
110202,223.688,2,,
110203,220.978,6,,
110204,218.5,2,,
110205,212.36,2,,
110206,206.753,2,,
110207,201.139,2,,
110208,208.703,2,,
110209,208.963,2,,
110210,203.988,2,,
110211,173.3,2,,
110212,179.169,4,,
110213,170.679,2,,
110214,178.382,2,,
110215,194.504,2,,
110216,218.373,6,,
110217,256.531,2,,
110218,288.624,2,,
110219,298.862,2,,
110220,305.454,2,,
110221,305.825,2,,
110222,304.051,2,,
110223,302.014,2,,
110224,296.461,2,,
120101,231.497,2,,
120102,223.22,2,,
120103,221.891,3,,
120104,216.282,6,,
120105,207.517,2,,
120106,204.027,2,,
120107,210.896,3,,
120108,204.811,2,,
120109,189.633,2,,
120110,175.132,2,,
120111,181.13,2,,
120112,198.895,2,,
120113,217.688,2,,
120114,245.503,2,,
120115,259.957,2,,
120116,267.135,2,,
120117,259.973,2,,
120118,247.787,6,,
120119,255.438,2,,
120120,254.639,2,,
120121,255.963,2,,
120122,263.29,2,,
120123,264.305,2,,
120124,263.839,2,,
130101,226.277,2,,
130102,221.78,2,,
130103,219.795,2,,
130104,214.806,2,,
130105,207.742,2,,
130106,202.622,2,,
130107,202.581,2,,
130108,200.008,6,,
130109,184.26,2,,
130110,173.997,2,,
130111,175.43,2,,
130112,181.4,4,,
130113,194.78,2,,
130114,215.191,2,,
130115,239.959,2,,
130116,258.222,2,,
130117,268.2,2,,
130118,276.633,2,,
130119,275.071,6,,
130120,273.153,2,,
130121,289.822,2,,
130122,290.888,2,,
130123,287.778,2,,
130124,291.49,4,,
140101,231.703,2,,
140102,222.701,2,,
140103,220.904,2,,
140104,214.95,6,,
140105,207.699,2,,
140106,200.489,2,,
140107,188.035,3,,
140108,201.454,2,,
140109,185.037,2,,
140110,176.567,2,,
140111,185.26,2,,
140112,202.905,2,,
140113,222.122,2,,
140114,246.442,2,,
140115,261.107,2,,
140116,266.951,2,,
140117,261.546,2,,
140118,258.328,2,,
140119,253.534,2,,
140120,252.168,2,,
140121,253.217,2,,
140122,263.152,2,,
140123,266.397,2,,
140124,265.786,2,,
150201,222.362,2,,
150202,221.12,2,,
150203,218.404,6,,
150204,212.443,2,,
150205,204.825,2,,
150206,199.448,2,,
150207,189.946,2,,
150208,209.638,2,,
150209,188.149,2,,
150210,176.646,2,,
150211,181.62,3,,
150212,194.48,2,,
150213,216.066,6,,
150214,239.87,2,,
150215,257.94,2,,
150216,265.826,2,,
150217,259.459,2,,
150218,260.32,2,,
150219,251.865,2,,
150220,247.391,2,,
150221,246.51,2,,
150222,253.462,2,,
150223,264.179,2,,
150224,267.003,2,,
160101,223.752,2,,
160102,220.86,2,,
160103,217.301,2,,
160104,210.783,2,,
160105,203.617,2,,
160106,205.787,2,,
160107,209.751,2,,
160108,194.981,2,,
160109,178.319,2,,
160110,178.002,2,,
160111,189.193,2,,
160112,206.683,6,,
160113,229.401,2,,
160114,252.877,2,,
160115,263.909,2,,
160116,268.402,2,,
160117,257.971,2,,
160118,253.84,2,,
160119,250.074,2,,
160120,255.281,2,,
160121,253.524,2,,
160122,278.151,2,,
160123,279.226,2,,
160124,277.857,6,,
170101,222.164,2,,
170102,221.21,2,,
170103,217.917,2,,
170104,210.63,2,,
170105,205.34,2,,
170106,206.435,2,,
170107,204.24,6,,
170108,192.738,2,,
170109,181.513,2,,
170110,176.271,2,,
170111,187.08,2,,
170112,200.609,2,,
170113,222.263,2,,
170114,245.563,2,,
170115,260.489,2,,
170116,266.8,2,,
170117,260.326,6,,
170118,251.387,3,,
170119,253.018,2,,
170120,255.48,2,,
170121,258.665,2,,
170122,266.942,2,,
170123,266.372,2,,
170124,267.306,2,,
180101,221.282,2,,
180102,217.569,2,,
180103,211.133,2,,
180104,205.756,2,,
180105,203.27,2,,
180106,211.799,6,,
