uL_thio,current,n,change
0,167.47,1,1
317.15,118.07,2,1
540.87,77.68,3,1
688,54.46,4,1
791.17,33.59,5,1
854.74,29.02,6,1
909.61,18.92,7,1
945.41,14.87,8,1
973.57,10.32,9,1
993.05,7.02,10,1
1006.34,5.43,11,1
1016.61,3.6,12,1
1023.32,2.61,13,1
1028.19,1.97,14,1
1031.87,1.53,15,1
1034.77,1.13,16,1
1036.87,0.86,17,1
1038.45,0.61,18,1
1039.5,0.44,19,1
1040.29,0.33,20,1
1040.82,0.23,21,1
1041.21,0.16,22,1
1041.48,0.11,23,1
1041.61,0.1,24,2
1041.74,0.06,25,3
1041.87,0.05,26,4
1042,0.03,27,5
1042.14,0,28,6
1042.27,0.01,29,7
