uL_thio,current,n,change
0,189.95,1,1
324.78,155.25,2,1
590.35,104.61,3,1
769.2,66.69,4,1
951.73,43.72,5,1
1071.35,26.3,6,1
1143.34,16.53,7,1
1171.5,13.14,8,1
1193.87,8.35,9,1
1208.08,5.82,10,1
1217.95,4.51,11,1
1225.59,3.41,12,1
1231.38,2.91,13,1
1236.25,2.09,14,1
1239.8,1.63,15,1
1242.56,1.16,16,1
1244.54,1.07,17,1
1246.25,0.63,18,1
1247.3,0.52,19,1
1248.09,0.41,20,1
1248.75,0.34,21,1
1248.88,0.28,22,1
1249.01,0.27,23,2
1249.14,0.26,24,3
1249.27,0.29,25,4
1249.41,0.23,26,4
1249.54,0.2,27,5
1249.67,0.19,28,6
1249.8,0.17,29,7
