station,cast,niskin,flask,o2 umol/kg,QC flag,dup stdev,dup avg,sample ID,notes
1,1,1,1,212.368,2,,,10101,
1,1,2,2,212.098,2,0.351,212.346,10102,EP at 0.11uA
1,1,2,3,212.594,2,,,10102,
1,1,4,4,221.898,2,,,10104,
1,1,5,5,237.83,2,,,10105,
1,1,6,6,255.276,2,,,10106,
1,1,7,7,277.533,2,,,10107,
1,1,10,8,299.298,2,,,10110,EP didn't get under 0.05uA
1,1,11,9,308.47,2,,,10111,noisy EP
1,1,12,10,313.468,2,,,10112,
1,1,14,11,313.777,2,,,10114,
1,1,15,12,314.398,2,,,10115,
1,1,16,13,315.33,2,,,10116,
2,1,1,701,177.972,2,,,20101,
2,1,2,102,177.147,2,,,20102,
2,1,3,103,176.738,2,0.04,176.767,20103,
2,1,3,104,176.795,2,,,20103,
2,1,4,105,178.678,2,,,20104,
2,1,5,106,182.203,3,,,20105,bubbles under rim--offgassing?
2,1,6,107,186.623,2,,,20106,
2,1,7,108,193.23,2,,,20107,
2,1,8,109,199.191,2,,,20108,
2,1,9,110,218.796,2,,,20109,
2,1,10,111,246.843,2,,,20110,
2,1,11,112,274.02,2,,,20111,bottle volume incorrect--file corrected and o2 concentration recalculated 
2,1,12,113,295.337,2,,,20112,
2,1,13,114,311.92,2,,,20113,
2,1,14,115,317.569,2,,,20114,
2,1,15,116,318.373,2,,,20115,
2,1,16,117,320.578,4,0.954,319.904,20116,"seal lost, bubble in flask"
2,1,16,118,319.229,2,,,20116,
2,1,17,119,318.93,2,,,20117,
2,1,18,120,319.953,2,,,20118,
2,1,19,121,319.859,2,,,20119,
3,1,1,301,196.352,2,,,30101,
3,1,2,302,196.416,2,,,30102,
3,1,3,303,195.458,3,,,30103,questionable seal--top floated up but no bubbles in flask
3,1,4,304,189.126,2,0.079,189.07,30104,noisy EP
3,1,4,305,189.014,2,,,30104,
3,1,5,306,184.421,2,,,30105,
3,1,6,307,180.514,2,,,30106,
3,1,7,308,193.137,2,,,30107,some noise at EP; outlier on profile--bottle volume questionable
3,1,8,309,176.354,2,,,30108,
3,1,9,310,177.368,2,,,30109,
3,1,10,311,177.458,2,,,30110,
3,1,11,312,182.281,2,,,30111,
3,1,12,313,198.089,2,,,30112,
3,1,13,314,209.215,2,,,30113,
3,1,14,315,231.908,2,,,30114,
3,1,15,316,256.013,2,,,30115,
3,1,16,317,284.268,2,,,30116,
3,1,17,318,300.956,2,,,30117,
3,1,18,319,313.925,2,0.24,314.095,30118,
3,1,18,320,314.264,2,,,30118,
3,1,19,321,318.735,2,,,30119,
3,1,20,322,318.648,2,,,30120,
3,1,21,323,319.79,2,,,30121,"computer shutdown mid-titration, o2 value calculated from EP on box"
4,1,1,701,210.466,2,,,40101,
4,1,2,102,204.69,2,,,40102,
4,1,3,103,201.234,2,,,40103,
4,1,4,104,194.518,2,,,40104,
4,1,5,105,189.502,2,0.371,189.24,40105,
4,1,5,106,188.978,2,,,40105,
4,1,6,107,187.257,2,,,40106,
4,1,7,108,183.999,2,,,40107,
4,1,8,109,180.02,2,,,40108,
4,1,9,110,180.013,2,,,40109,
4,1,10,111,178.559,3,,,40110,bubble movement in line
4,1,11,112,178.38,2,,,40111,bottle volume incorrect--file corrected and o2 concentration recalculated 
4,1,12,113,177.338,3,,,40112,little bubble under rim
4,1,13,114,180.06,2,,,40113,
4,1,14,115,188.58,2,,,40114,
4,1,15,116,203.591,2,0.663,204.06,40115,
4,1,15,117,204.528,2,,,40115,
4,1,16,118,219.67,2,,,40116,
4,1,17,119,234.433,2,,,40117,
4,1,18,120,260.116,2,,,40118,
4,1,19,121,283.711,2,,,40119,
4,1,20,122,304.468,2,,,40120,
4,1,21,123,316.089,2,,,40121,
4,1,22,124,318.623,2,,,40122,
4,1,23,125,318.509,2,,,40123,
4,1,24,126,318.398,2,,,40124,
5,1,1,301,223.212,2,,,50101,
5,1,2,302,212.071,2,,,50102,
5,1,3,303,210.545,2,,,50103,
5,1,4,304,207.018,2,,,50104,
5,1,5,305,200.263,2,,,50105,
5,1,6,306,196.697,2,0.631,196.251,50106,
5,1,6,307,195.804,2,,,50106,
5,1,7,308,209.411,2,,,50107,outlier on profile--bottle volume questionable
5,1,8,309,188.387,2,,,50108,
5,1,9,310,184.547,2,,,50109,
5,1,10,311,179.958,2,,,50110,
5,1,11,312,177.778,2,,,50111,
5,1,12,313,176.413,2,,,50112,
5,1,13,314,176.846,2,,,50113,
5,1,14,315,179.328,2,,,50114,
5,1,15,316,186.597,2,,,50115,
5,1,16,317,196.271,2,0.32,196.497,50116,
5,1,16,318,196.723,2,,,50116,
5,1,17,319,212.982,2,,,50117,
5,1,18,320,239.983,2,,,50118,
5,1,19,321,267.314,2,,,50119,
5,1,20,322,288.389,2,,,50120,
5,1,21,323,321.155,2,,,50121,
5,1,22,324,322.09,2,,,50122,
5,1,23,325,-0.91,4,,,50123,titrator froze--could not properly complete titration
5,1,24,326,321.614,2,,,50124,
6,1,1,701,225.796,2,,,60101,
6,1,2,102,221.458,2,,,60102,
6,1,3,103,216.961,2,,,60103,
6,1,4,104,212.883,2,,,60104,
6,1,5,105,208.31,2,,,60105,
6,1,6,106,204.415,2,,,60106,
6,1,7,107,201.078,2,0.126,200.989,60107,
6,1,7,108,200.9,2,,,60107,
6,1,8,109,197.271,2,,,60108,
6,1,9,110,195.525,2,,,60109,
6,1,10,111,190.851,2,,,60110,
6,1,11,112,188.48,3,,,60111,bubble movement in tubing; bottle volume incorrect--file corrected and o2 concentration recalculated 
6,1,12,113,183.362,2,,,60112,
6,1,13,114,186.634,2,,,60113,
6,1,14,115,186.307,2,,,60114,
6,1,15,116,191.118,2,,,60115,
6,1,16,117,202.083,3,,,60116,stopper floating up but no bubbles in flask
6,1,17,118,228.086,2,0.346,227.841,60117,
6,1,17,119,227.596,2,,,60117,
6,1,18,120,266.776,2,,,60118,
6,1,19,121,284.092,2,,,60119,
6,1,20,122,305.794,2,,,60120,
6,1,21,123,-999,5,,,60121,titrator froze--could not properly complete titration
6,1,22,124,321.073,2,,,60122,sat open (and acidified) for a while due to titrator issues
6,1,23,125,321.821,2,,,60123,
6,1,24,126,321.26,2,,,60124,
7,1,1,301,227.693,2,,,70101,
7,1,2,302,218.516,2,,,70102,
7,1,3,303,216.546,2,,,70103,
7,1,4,304,210.046,2,,,70104,
7,1,5,305,205.321,2,,,70105,
7,1,6,306,202.735,3,,,70106,stopper floated up but no bubbles in flask
7,1,7,307,197.547,2,,,70107,
7,1,8,308,209.766,2,,,70108,outlier on profile--bottle volume questionable
7,1,9,309,190.122,2,0.042,190.152,70109,
7,1,9,310,190.182,2,,,70109,
7,1,10,311,185.53,2,,,70110,
7,1,11,312,181.479,2,,,70111,
7,1,12,313,180.184,2,,,70112,
7,1,13,314,177.455,2,,,70113,
7,1,14,315,178.436,2,,,70114,
7,1,15,316,180.996,2,,,70115,
7,1,16,317,200.01,2,,,70116,
7,1,17,318,243.748,2,,,70117,
7,1,18,319,265.144,2,,,70118,
7,1,19,320,275.297,2,3.109,277.496,70119,
7,1,19,321,279.694,3,,,70119,voltage spike right before EP
7,1,20,322,288.344,2,,,70120,
7,1,21,323,299.943,2,,,70121,
7,1,22,324,314.024,2,,,70122,
7,1,23,325,320.021,2,,,70123,
7,1,24,326,321.741,2,,,70124,
8,1,1,701,234.102,2,,,80101,
8,1,2,102,230.36,2,,,80102,n>30; EP estimated via linear regression
8,1,3,103,225.442,4,,,80103,"titrator froze, turned off and restarted, but sample already partially titrated"
8,1,4,104,222.264,2,,,80104,
8,1,5,105,219.12,3,,,80105,n>30; EP estimated via linear regression
8,1,6,106,214.445,2,,,80106,
8,1,7,107,210.037,2,,,80107,
8,1,8,108,205.715,2,,,80108,
8,1,9,109,199.943,2,,,80109,
8,1,10,110,195.3,2,,,801010,n>30; EP estimated via linear regression
8,1,11,111,190.71,2,0.467,191.04,80111,
8,1,11,112,191.37,2,,,80111,bottle volume incorrect--file corrected and o2 concentration recalculated 
8,1,12,113,185.849,2,,,80112,
8,1,13,114,181.95,2,,,80113,
8,1,14,115,179.401,2,,,80114,
8,1,15,116,176.176,2,,,80115,
8,1,16,117,181.213,2,,,80116,
8,1,17,118,193.267,2,,,80117,
8,1,18,119,230.149,2,,,80118,
8,1,19,120,280.798,2,,,80119,rubber absorbed a lot of water in seal
8,1,20,121,303.38,2,,,80120,n>30; EP estimated via linear regression
8,1,21,122,312.54,2,0.394,312.262,80121,
8,1,21,123,311.983,2,,,80121,
8,1,22,124,320.499,2,,,80122,
8,1,23,125,328.033,2,,,80123,
8,1,24,126,328.508,2,,,80124,
9,1,1,701,238.98,2,,,90101,
9,1,2,102,229.99,2,,,90102,
9,1,3,103,224.074,2,,,90103,
9,1,4,104,221.807,2,,,90104,
9,1,5,105,218.193,2,,,90105,EP @ 0.09uA
9,1,6,106,214.74,2,,,90106,recalculated w/ correct salinity
9,1,7,107,210.761,2,0.494,210.412,90107,
9,1,7,108,210.062,2,,,90107,
9,1,8,109,205.174,2,,,90108,
9,1,9,110,200.474,2,,,90109,
9,1,10,111,194.433,4,,,90110,bubble in flask; EP @ 0.12uA
9,1,11,112,185.55,2,,,90111,bottle volume incorrect--file corrected and o2 concentration recalculated 
9,1,12,113,183.151,2,,,90112,
9,1,13,114,179.526,2,,,90113,
9,1,14,115,177.165,2,,,90114,
9,1,15,116,171.383,2,,,90115,
9,1,16,117,180.893,2,,,90116,
9,1,17,118,182.189,2,0.17,182.069,90117,
9,1,17,119,181.949,2,,,90117,
9,1,18,120,206.339,2,,,90118,
9,1,19,121,259.317,2,,,90119,
9,1,20,122,295.157,2,,,90120,noisy EP
9,1,21,123,309.538,2,,,90121,
9,1,22,124,322.467,3,,,90122,bubble moved in tubing
9,1,23,125,323.026,3,,,90123,tiny bubble under rim
9,1,24,126,329.3,4,,,90124,bubble in flask
10,1,1,701,217.348,4,,,100101,"titrator froze on 3rd point, titration restarted but already partially titrated"
10,1,2,102,226.753,2,,,100102,
10,1,3,103,222.276,2,,,100103,
10,1,4,104,217.512,2,,,100104,
10,1,5,105,210.13,2,0.787,209.57,100105,n>30; EP estimated via linear regression
10,1,5,106,209.014,3,,,100105,a couple tiny bubbles around rim
10,1,6,107,204.019,2,,,100106,
10,1,7,108,199.578,2,,,100107,
10,1,8,109,200.776,2,,,100108,
10,1,9,110,201.607,2,,,100109,
10,1,10,111,177.04,2,,,100110,
10,1,11,112,171.67,2,,,100111,bottle volume incorrect--file corrected and o2 concentration recalculated 
10,1,12,113,172.421,3,,,100112,bubble movement in tubing
10,1,13,114,174.528,3,,,100113,bubble in tubing?
10,1,14,115,184.118,2,0.455,183.797,100114,
10,1,14,116,183.475,2,,,100114,
10,1,15,117,207.322,2,,,100115,
10,1,16,118,240.138,2,,,100116,
10,1,17,119,250.481,2,,,100117,
10,1,18,120,264.686,2,,,100118,
10,1,19,121,292.153,2,,,100119,
10,1,20,122,293.742,2,,,100120,
10,1,21,123,293.785,2,,,100121,
10,1,22,124,294.241,2,,,100122,
10,1,23,125,294.383,2,,,100123,
10,1,24,126,293.54,2,,,100124,
11,2,1,701,230.546,2,,,110201,switched to 2Apr26 firmware
11,2,2,102,223.688,2,,,110202,
11,2,3,103,220.887,2,0.129,220.978,110203,
11,2,3,104,221.07,2,,,110203,n>30; EP estimated via linear regression
11,2,4,105,218.5,2,,,110204,n>30; EP estimated via linear regression
11,2,5,106,212.36,2,,,110205,n>30; EP estimated via linear regression
11,2,6,107,206.753,2,,,110206,
11,2,7,108,201.139,2,,,110207,switched back to 19Apr24 firmware
11,2,8,109,208.703,2,,,110208,EP @ 0.12uA
11,2,9,110,208.963,2,,,110209,EP @ 0.08uA
11,2,10,111,203.988,2,,,110210,
11,2,11,112,173.3,2,,,110211,bottle volume incorrect--file corrected and o2 concentration recalculated 
11,2,12,113,179.169,4,,,110212,bubble in flask--seal lost
11,2,13,114,170.679,2,,,110213,
11,2,14,115,178.382,2,,,110214,
11,2,15,116,194.504,2,,,110215,
11,2,16,117,218.475,2,0.144,218.373,110216,voltage spike near EP
11,2,16,118,218.271,2,,,110216,
11,2,17,119,256.531,2,,,110217,
11,2,18,120,288.624,2,,,110218,
11,2,19,121,298.862,2,,,110219,
11,2,20,122,305.454,2,,,110220,
11,2,21,123,305.825,2,,,110221,
11,2,22,124,304.051,2,,,110222,couple of black specs floating in sample
11,2,23,125,302.014,2,,,110223,
11,2,24,126,296.461,2,,,110224,
12,1,1,701,231.497,2,,,120101,
12,1,2,102,223.22,2,,,120102,
12,1,3,103,221.891,3,,,120103,tiny bubble in flask
12,1,4,104,216.544,2,0.371,216.282,120104,
12,1,4,105,216.019,2,,,120104,
12,1,5,106,207.517,2,,,120105,
12,1,6,107,204.027,2,,,120106,
