station,cast,skiprows,stn_num
001,1,274,1
002,1,274,2
003,1,274,3
004,1,274,4
005,1,274,5
006,1,274,6
007,1,274,7
008,1,274,8
009,1,274,9
010,1,274,10
011,2,273,11
012,1,274,12
013,1,274,13
014,1,274,14
015,2,274,15
016,1,274,16
017,1,274,17
018,1,274,18
019,1,274,19
020,1,274,20
021,1,274,21
022,1,274,22
023,2,274,23
024,1,274,24
025,1,274,25
026,1,274,26
027,1,274,27
028,1,274,28
029,1,274,29
030,2,274,30
031,1,274,31
032,1,274,32
033,1,274,33
034,1,274,34
035,1,274,35
036,1,274,36
037,1,274,37
038,2,274,38
039,1,274,39
040,1,274,40
041,1,274,41
042,1,274,42
043,1,274,43
044,1,274,44
045,2,274,45
046,1,274,46
047,1,274,47
048,1,274,48
049,1,274,49
050,1,274,50
051,1,274,51
052,1,274,52
053,2,274,53
054,1,274,54
055,1,274,55
056,1,274,56
057,1,274,57
058,1,274,58
059,1,274,59
060,2,274,60
061,1,274,61
062,1,274,62
063,1,274,63
064,1,274,64
065,1,274,65
066,1,274,66
067,2,274,67
068,1,274,68
069,1,274,69
070,1,274,70
071,1,274,71
072,1,274,72
073,1,274,73
074,1,274,74
075,2,274,75
076,1,274,76
077,1,274,77
078,1,274,78
079,1,274,79
080,1,274,80
081,1,274,81
082,2,274,82
083,1,274,83
084,1,274,84
085,1,274,85
086,1,274,86
087,1,274,87
088,1,274,88
089,2,274,89
090,1,274,90
091,1,274,91
092,1,274,92
093,1,274,93
094,1,274,94
095,1,274,95
096,2,274,96
